PID	Street Address	MBLU	Book&Page	Assessment	Appraisal	Lot Size (acres)	Land Use Code	Description	Zoning District	# Buildings	Appr. Year	Improvements	Land	Total	Recent Sale Price	Recent Sale Date	Prev Sale Price	Prev Sale Date	Prev. Assess.	Prev. Apprais	
123	30 PLEASANT ST	201/  86/  /  / 	  4371/0348	$284,100	$284,100	0.69	1010	SINGLE FAM MDL01	LCD	1	2016	$151,900	$132,200	$284,100	$295,000	06/29/2018	$185,000	03/24/2006	$226,100	$226,100	16:45:13	1
125	24 PLEASANT ST	201/  88/  /  / 	  4071/0118	$427,700	$427,700	2.3	1010	SINGLE FAM MDL01	LCD	1	2016	$272,000	$155,700	$427,700	$365,000	07/21/2014			$346,700	$346,700	16:45:17	2
127	16 PLEASANT ST	201/  90/  /  / 	  4430/0014	$393,500	$393,500	0.9	1010	SINGLE FAM MDL01	LCD	1	2016	$240,200	$153,300	$393,500	$405,000	05/01/2019	$365,000	07/11/2006	$377,200	$377,200	16:45:20	3
128	12+14 PLEASANT ST	201/  91/  /  / 	  3779/0878	$583,500	$583,500	0.8	1090	MULTI HSES	LCD	2	2016	$395,000	$188,500	$583,500	$200,000	03/15/2011	$125,000	09/09/1997	$527,600	$527,600	16:45:23	4
129	10 PLEASANT ST	201/  92/  /  / 	  4152/0371	$339,800	$339,800	1.3	1010	SINGLE FAM MDL01	LCD	1	2016	$182,300	$157,500	$339,800	$286,000	08/24/2015	$225,000	03/07/2006	$295,300	$295,300	16:45:25	5
132	6 JOHN THOMSON WY (L/O)	201/  93/  100/  / 	 	$40,300	$40,300	0.16	9030	MUNICPAL  MDL-00	LDC	1	2016	$0	$40,300	$40,300	$0				$33,700	$33,700	16:45:27	6
133	6 JOHN THOMSON WY(HORSESHD)	201/  93/  200/  / 	  1005/0574	$42,000	$42,000	0	9060	CHURCH ETC  MDL-00		1	2016	$42,000	$0	$42,000	$0				$38,500	$38,500	16:45:30	7
136	2 PLEASANT ST (JAILHOUSE)	201/  94/  100/  / 	 	$27,400	$27,400	0.07	903I	MUNICPAL  MDL-96	LCD	1	2016	$15,200	$12,200	$27,400	$0				$23,100	$23,100	16:45:31	8
137	4 JOHN THOMSON WY	201/  94/  200/  / 	 	$236,300	$236,300	1.85	920C	NON PROFIT  MDL-94	LCD	1	2016	$46,900	$189,400	$236,300	$0				$197,000	$197,000	16:45:34	9
139	5 DORCHESTER RD	201/  96/  /  / 	 	$247,800	$247,800	0.09	906C	CHURCH ETC  MDL-94	LCD	1	2016	$81,400	$166,400	$247,800	$0				$205,800	$205,800	16:45:36	10
140	7 DORCHESTER RD	201/  97/  /  / 	  3890/0633	$677,700	$677,700	0.31	1010	SINGLE FAM MDL01	LCD	1	2016	$526,200	$151,500	$677,700	$733,000	06/13/2012	$257,000	09/19/1996	$687,800	$687,800	16:45:38	11
143	19 DORCHESTER RD	201/  100/  /  / 	  4223/0595	$494,100	$494,100	1.5	1010	SINGLE FAM MDL01	LCD	1	2016	$287,200	$206,900	$494,100	$465,000	07/29/2016	$222,000	09/02/1993	$471,200	$471,200	16:45:40	12
144	21 DORCHESTER RD	201/  101/  /  / 	  4154/0182	$277,800	$277,800	0.43	1010	SINGLE FAM MDL01	LCD	1	2016	$144,800	$133,000	$277,800	$266,700	08/31/2015	$92,571	07/15/1992	$249,800	$249,800	16:45:42	13
148	50 HIGH ST	201/  102/  1000/  / 	  4403/0829	$306,500	$306,500	1.37	1010	SINGLE FAM MDL01	LCD	1	2016	$163,800	$142,700	$306,500	$0	11/29/2018	$122,000	08/24/1994	$246,900	$246,900	16:45:44	14
149	48 HIGH ST	201/  102/  2000/  / 	  4403/0829	$556,800	$556,800	1.51	3050	HOSP PVT	LCD	1	2016	$385,600	$171,200	$556,800	$0	11/29/2018	$20,000	08/01/1995	$420,300	$420,300	16:45:45	15
