PID	Street Address	MBLU	Lot Size (acres)	Land Use Code	Description	Zoning District	# Buildings	Appr. Year	Improvements	Land	Total	Assessment	Appraisal	Recent Sale Price	Recent Sale Date	Prev Sale Price	Prev Sale Date	
123	30 PLEASANT ST	201/  86/  /  / 	0.69	1010	SINGLE FAM MDL01	LCD	1	2016	"$151,900 "	"$132,200 "	"$284,100 "	"$284,100 "	"$284,100 "	"$295,000 "	6/29/18	"$185,000 "	3/24/06	
125	24 PLEASANT ST	201/  88/  /  / 	2.3	1010	SINGLE FAM MDL01	LCD	1	2016	"$272,000 "	"$155,700 "	"$427,700 "	"$427,700 "	"$427,700 "	"$365,000 "	7/21/14			
127	16 PLEASANT ST	201/  90/  /  / 	0.9	1010	SINGLE FAM MDL01	LCD	1	2016	"$240,200 "	"$153,300 "	"$393,500 "	"$393,500 "	"$393,500 "	"$405,000 "	5/1/19	"$365,000 "	7/11/06	
128	12+14 PLEASANT ST	201/  91/  /  / 	0.8	1090	MULTI HSES	LCD	2	2016	"$395,000 "	"$188,500 "	"$583,500 "	"$583,500 "	"$583,500 "	"$200,000 "	3/15/11	"$125,000 "	9/9/97	
129	10 PLEASANT ST	201/  92/  /  / 	1.3	1010	SINGLE FAM MDL01	LCD	1	2016	"$182,300 "	"$157,500 "	"$339,800 "	"$339,800 "	"$339,800 "	"$286,000 "	8/24/15	"$225,000 "	3/7/06	
132	6 JOHN THOMSON WY (L/O)	201/  93/  100/  / 	0.16	9030	MUNICPAL  MDL-00	LDC	1	2016	$0 	"$40,300 "	"$40,300 "	"$40,300 "	"$40,300 "	$0 				
133	6 JOHN THOMSON WY(HORSESHD)	201/  93/  200/  / 	0	9060	CHURCH ETC  MDL-00		1	2016	"$42,000 "	$0 	"$42,000 "	"$42,000 "	"$42,000 "	$0 				
136	2 PLEASANT ST (JAILHOUSE)	201/  94/  100/  / 	0.07	903I	MUNICPAL  MDL-96	LCD	1	2016	"$15,200 "	"$12,200 "	"$27,400 "	"$27,400 "	"$27,400 "	$0 				
137	4 JOHN THOMSON WY	201/  94/  200/  / 	1.85	920C	NON PROFIT  MDL-94	LCD	1	2016	"$46,900 "	"$189,400 "	"$236,300 "	"$236,300 "	"$236,300 "	$0 				
139	5 DORCHESTER RD	201/  96/  /  / 	0.09	906C	CHURCH ETC  MDL-94	LCD	1	2016	"$81,400 "	"$166,400 "	"$247,800 "	"$247,800 "	"$247,800 "	$0 				
140	7 DORCHESTER RD	201/  97/  /  / 	0.31	1010	SINGLE FAM MDL01	LCD	1	2016	"$526,200 "	"$151,500 "	"$677,700 "	"$677,700 "	"$677,700 "	"$733,000 "	6/13/12	"$257,000 "	9/19/96	
143	19 DORCHESTER RD	201/  100/  /  / 	1.5	1010	SINGLE FAM MDL01	LCD	1	2016	"$287,200 "	"$206,900 "	"$494,100 "	"$494,100 "	"$494,100 "	"$465,000 "	7/29/16	"$222,000 "	9/2/93	
144	21 DORCHESTER RD	201/  101/  /  / 	0.43	1010	SINGLE FAM MDL01	LCD	1	2016	"$144,800 "	"$133,000 "	"$277,800 "	"$277,800 "	"$277,800 "	"$266,700 "	8/31/15	"$92,571 "	7/15/92	
148	50 HIGH ST	201/  102/  1000/  / 	1.37	1010	SINGLE FAM MDL01	LCD	1	2016	"$163,800 "	"$142,700 "	"$306,500 "	"$306,500 "	"$306,500 "	$0 	11/29/18	"$122,000 "	8/24/94	
149	48 HIGH ST	201/  102/  2000/  / 	1.51	3050	HOSP PVT	LCD	1	2016	"$385,600 "	"$171,200 "	"$556,800 "	"$556,800 "	"$556,800 "	$0 	11/29/18	"$20,000 "	8/1/95	
150	44 HIGH ST (FIRE STATION)	201/  103/  /  / 	1.28	9032	FIRE	LCD	1	2016	"$410,700 "	"$170,200 "	"$580,900 "	"$580,900 "	"$580,900 "	$0 				
151	40 HIGH ST	201/  104/  /  / 	10	3900	DEVEL LAND	LCD	1	2016	$0 	"$218,500 "	"$218,500 "	"$218,500 "	"$218,500 "	"$200,000 "	3/4/19	"$4,286 "	5/31/91	
153	36 HIGH ST	201/  106/  /  / 	0.66	1010	SINGLE FAM MDL01	LCD	1	2016	"$149,400 "	"$111,300 "	"$260,700 "	"$260,700 "	"$260,700 "	"$115,048 "	6/1/92			
154	32 HIGH ST	201/  107/  /  / 	0.52	1010	SINGLE FAM MDL01	LCD	1	2016	"$82,500 "	"$82,400 "	"$164,900 "	"$164,900 "	"$164,900 "	$0 	11/18/04	"$75,000 "	11/10/98	
159	30 HIGH ST	201/  109/  1000/  / 	1.96	9010	STATE NH	LCD	1	2016	"$21,200 "	"$166,100 "	"$187,300 "	"$187,300 "	"$187,300 "	$0 	6/2/55			
161	24 HIGH ST (HIGHWAY GARAGE)	201/  110/  1000/  / 	3.47	903I	MUNICPAL  MDL-96	LCD	1	2016	"$562,100 "	"$219,600 "	"$781,700 "	"$781,700 "	"$781,700 "	$0 	9/10/03			
162	18 HIGH ST	201/  111/  /  / 	1.8	1010	SINGLE FAM MDL01	LCD	1	2016	"$165,400 "	"$126,800 "	"$292,200 "	"$292,200 "	"$292,200 "	"$125,000 "	8/5/97			
163	14 HIGH ST	201/  112/  /  / 	0.76	1090	MULTI HSES	LCD	2	2016	"$269,600 "	"$158,900 "	"$428,500 "	"$428,500 "	"$428,500 "	"$111,000 "	6/27/97	"$4,000 "	1/22/88	
164	8 HIGH ST	201/  113/  /  / 	0.58	1010	SINGLE FAM MDL01	LCD	1	2016	"$46,200 "	"$98,300 "	"$144,500 "	"$144,500 "	"$144,500 "	$0 	2/20/13	"$100,000 "	4/6/07	
167	4 CREAMERY LN	201/  117/  /  / 	1.53	101	Single Fam	LCD	2	2016	"$289,300 "	"$224,000 "	"$513,300 "	"$513,300 "	"$513,300 "	$0 	12/2/96	"$138,500 "	9/22/95	
168	13 CREAMERY LN	201/  118/  /  / 	1.5	1010	SINGLE FAM MDL01	LCD	1	2016	"$174,500 "	"$129,600 "	"$304,100 "	"$304,100 "	"$304,100 "	$0 	2/23/15	"$4,000 "	3/23/88	
170	1 HIGH ST	201/  120/  /  / 	3.11	903R	MUNICIPAL MDL-01	LCD	2	2016	"$1,225,500 "	"$266,800 "	"$1,492,300 "	"$1,492,300 "	"$1,492,300 "	$0 	9/2/08			
172	10 SPRING HILL LN	201/  123/  /  / 	7.68	6335	OTUNR-5	LCD	1	2016	$0 	"$161,400 "	"$161,400 "	$300 	"$161,400 "	"$835,000 "	5/30/97	"$10,000 "	1/31/97	
173	6 SPRING HILL LN	201/  124/  /  / 	1.5	1010	SINGLE FAM MDL01		1	2016	"$465,200 "	"$154,000 "	"$619,200 "	"$619,200 "	"$619,200 "	"$500,000 "	5/18/07	"$390,000 "	7/31/03	
174	13 HIGH ST	201/  125/  /  / 	1.56	1010	SINGLE FAM MDL01	LCD	1	2016	"$152,300 "	"$132,200 "	"$284,500 "	"$284,500 "	"$284,500 "	"$255,000 "	7/9/13			
176	15 HIGH ST	201/  126/  /  / 	1.66	1010	SINGLE FAM MDL01	LCD	1	2016	"$156,600 "	"$137,900 "	"$294,500 "	"$294,500 "	"$294,500 "	"$4,000 "	12/23/80			
100021	288 ORFORD RD	406/  22/  2000/  / 	158.82	1010	SINGLE FAM MDL01	RD	1	2016	"$1,128,800 "	"$520,300 "	"$1,649,100 "	"$1,359,700 "	"$1,649,100 "	$0 	3/21/18	"$1,200,000 "	11/1/16	
177	19 HIGH ST	201/  127/  /  / 	1.3	1010	SINGLE FAM MDL01	LCD	1	2016	"$85,100 "	"$129,800 "	"$214,900 "	"$214,900 "	"$214,900 "	"$175,000 "	1/5/16			
178	27 HIGH ST	201/  128/  1000/  / 	2.17	1010	SINGLE FAM MDL01	LCD	1	2016	"$231,800 "	"$126,600 "	"$358,400 "	"$358,400 "	"$358,400 "	"$165,000 "	5/17/96	"$85,000 "	3/31/89	
179	35 HIGH ST	201/  129/  /  / 	1.7	1010	SINGLE FAM MDL01	LCD	1	2016	"$149,400 "	"$138,100 "	"$287,500 "	"$287,500 "	"$287,500 "	"$249,000 "	5/26/15	"$240,000 "	11/22/04	
181	31 ROCKY HILL LN	201/  131/  /  / 	20	1320	RES ACLNUD	LCD	1	2016	$0 	"$333,600 "	"$333,600 "	"$2,500 "	"$333,600 "	$0 	4/16/03	"$66,000 "	12/14/87	
182	12 ROCKY HILL LN	201/  132/  /  / 	12.8	1010	SINGLE FAM MDL01	LCD	1	2016	"$507,900 "	"$233,200 "	"$741,100 "	"$686,100 "	"$741,100 "	"$30,000 "	7/17/87			
183	49 HIGH ST	201/  133/  /  / 	0.95	1060	AC LND IMP	LCD	1	2016	"$10,900 "	"$103,000 "	"$113,900 "	"$113,900 "	"$113,900 "	"$100,000 "	12/3/20	"$25,000 "	11/23/15	
249	13 HEWS LN	401/  46/  /  / 	2.8	1010	SINGLE FAM MDL01	RD	1	2016	"$155,900 "	"$144,300 "	"$300,200 "	"$300,200 "	"$300,200 "	$0 	9/15/92	"$15,000 "	9/22/88	
189	76 GOODELL LN	401/  4/  /  / 	37	1060	AC LND IMP	RD	1	2016	"$8,500 "	"$129,600 "	"$138,100 "	"$53,300 "	"$138,100 "	$0 	5/5/05			
190	54 GOODELL LN	401/  5/  /  / 	23.11	6215	HWMR-5	RD	1	2016	$0 	"$59,200 "	"$59,200 "	"$1,000 "	"$59,200 "	"$4,000 "	12/27/88			
191	42 GOODELL LN	401/  6/  /  / 	104.74	6514	FARMR-4	RD	1	2016	$0 	"$204,100 "	"$204,100 "	"$6,000 "	"$204,100 "	$0 	11/5/02			
192	68 PRESTON RD	401/  7/  /  / 	191.4	6125	WPUN-5	RD	1	2016	$0 	"$689,600 "	"$689,600 "	"$25,500 "	"$689,600 "	$0 	5/1/90			
