PID	Street Address	MBLU	Assessment	Appraisal	Lot Size (acres)	Land Use Code	Description	Zoning District	# Buildings	Year	Improvements	Land	Total	
123	30 PLEASANT ST	201/  86/  /  / 	$226,100	$226,100	0.69	1010	SINGLE FAM MDL01	LCD	1	2016	$120,600	$105,500	$226,100	09:42:10	1
125	24 PLEASANT ST	201/  88/  /  / 	$346,700	$346,700	2.3	1010	SINGLE FAM MDL01	LCD	1	2016	$227,400	$119,300	$346,700	09:42:13	2
127	16 PLEASANT ST	201/  90/  /  / 	$377,200	$377,200	0.9	1010	SINGLE FAM MDL01	LCD	1	2016	$263,100	$114,100	$377,200	09:42:15	3
128	12+14 PLEASANT ST	201/  91/  /  / 	$527,600	$527,600	0.8	1090	MULTI HSES	LCD	2	2016	$416,100	$111,500	$527,600	09:42:19	4
129	10 PLEASANT ST	201/  92/  /  / 	$295,300	$295,300	1.3	1010	SINGLE FAM MDL01	LCD	1	2016	$170,700	$124,600	$295,300	09:42:23	5
132	6 JOHN THOMSON WY (L/O)	201/  93/  100/  / 	$33,700	$33,700	0.16	9030	MUNICPAL  MDL-00	LDC	1	2016	$0	$33,700	$33,700	09:42:25	6
133	6 JOHN THOMSON WY(HORSESHD)	201/  93/  200/  / 	$38,500	$38,500	0	9060	CHURCH ETC  MDL-00		1	2016	$38,500	$0	$38,500	09:42:27	7
136	2 PLEASANT ST (JAILHOUSE)	201/  94/  100/  / 	$23,100	$23,100	0.07	903I	MUNICPAL  MDL-96	LCD	1	2016	$13,400	$9,700	$23,100	09:42:31	8
137	4 JOHN THOMSON WY	201/  94/  200/  / 	$197,000	$197,000	1.85	920C	NON PROFIT  MDL-94	LCD	1	2016	$42,400	$154,600	$197,000	09:42:34	9
139	5 DORCHESTER RD	201/  96/  /  / 	$205,800	$205,800	0.09	906C	CHURCH ETC  MDL-94	LCD	1	2016	$73,400	$132,400	$205,800	09:42:37	10
140	7 DORCHESTER RD	201/  97/  /  / 	$687,800	$687,800	0.31	1010	SINGLE FAM MDL01	LCD	1	2016	$531,800	$156,000	$687,800	09:42:40	11
143	19 DORCHESTER RD	201/  100/  /  / 	$471,200	$471,200	1.5	1010	SINGLE FAM MDL01	LCD	1	2016	$289,400	$181,800	$471,200	09:42:42	12
144	21 DORCHESTER RD	201/  101/  /  / 	$249,800	$249,800	0.43	1010	SINGLE FAM MDL01	LCD	1	2016	$138,000	$111,800	$249,800	09:42:43	13
148	50 HIGH ST	201/  102/  1000/  / 	$246,900	$246,900	1.37	1010	SINGLE FAM MDL01	LCD	1	2016	$138,200	$108,700	$246,900	09:42:45	14
149	48 HIGH ST	201/  102/  2000/  / 	$420,300	$420,300	1.51	3050	HOSP PVT	LCD	1	2016	$290,200	$130,100	$420,300	09:42:48	15
150	44 HIGH ST (FIRE STATION)	201/  103/  /  / 	$253,500	$253,500	1.28	9032	FIRE	LCD	1	2016	$124,300	$129,200	$253,500	09:42:52	16
151	40 HIGH ST	201/  104/  /  / 	$137,300	$137,300	10	3900	DEVEL LAND	LCD	1	2016	$0	$137,300	$137,300	09:42:54	17
153	36 HIGH ST	201/  106/  /  / 	$228,700	$228,700	0.66	1010	SINGLE FAM MDL01	LCD	1	2016	$138,400	$90,300	$228,700	09:42:58	18
154	32 HIGH ST	201/  107/  /  / 	$138,800	$138,800	0.52	1010	SINGLE FAM MDL01	LCD	1	2016	$66,800	$72,000	$138,800	09:43:01	19
159	30 HIGH ST	201/  109/  1000/  / 	$145,100	$145,100	1.96	9010	STATE NH	LCD	1	2016	$17,900	$127,200	$145,100	09:43:03	20
161	24 HIGH ST (HIGHWAY GARAGE)	201/  110/  1000/  / 	$751,200	$751,200	3.47	903I	MUNICPAL  MDL-96	LCD	1	2016	$592,300	$158,900	$751,200	09:43:05	21
162	18 HIGH ST	201/  111/  /  / 	$262,500	$262,500	1.8	1010	SINGLE FAM MDL01	LCD	1	2016	$165,400	$97,100	$262,500	09:43:07	22
163	14 HIGH ST	201/  112/  /  / 	$396,100	$396,100	0.76	1010	SINGLE FAM MDL01	LCD	2	2016	$298,800	$97,300	$396,100	09:43:11	23
164	8 HIGH ST	201/  113/  /  / 	$122,000	$122,000	0.58	1010	SINGLE FAM MDL01	LCD	1	2016	$38,900	$83,100	$122,000	09:43:13	24
167	4 CREAMERY LN	201/  117/  /  / 	$390,100	$390,100	1.53	0101	Single Fam	LCD	2	2016	$279,800	$110,300	$390,100	09:43:16	25
168	13 CREAMERY LN	201/  118/  /  / 	$245,500	$245,500	1.5	1010	SINGLE FAM MDL01	LCD	1	2016	$146,700	$98,800	$245,500	09:43:20	26
170	1 HIGH ST	201/  120/  /  / 	$1,299,500	$1,299,500	3.11	903R	MUNICIPAL MDL-01	LCD	2	2016	$1,095,300	$204,200	$1,299,500	09:43:23	27
172	10 SPRING HILL LN	201/  123/  /  / 	$300	$119,400	7.68	6335	OTUNR-5	LCD	1	2016	$0	$119,400	$119,400	09:43:27	28
173	6 SPRING HILL LN	201/  124/  /  / 	$479,200	$479,200	1.5	1010	SINGLE FAM MDL01		1	2016	$361,400	$117,800	$479,200	09:43:30	29
174	13 HIGH ST	201/  125/  /  / 	$237,400	$237,400	1.56	1010	SINGLE FAM MDL01	LCD	1	2016	$136,900	$100,500	$237,400	09:43:32	30
176	15 HIGH ST	201/  126/  /  / 	$221,500	$221,500	1.66	1010	SINGLE FAM MDL01	LCD	1	2016	$116,500	$105,000	$221,500	09:43:34	31
100021	288 ORFORD RD	406/  22/  2000/  / 	$1,326,700	$1,588,600	158.82	1010	SINGLE FAM MDL01	RD	1	2016	$1,046,600	$542,000	$1,588,600	09:43:36	32
177	19 HIGH ST	201/  127/  /  / 	$180,600	$180,600	1.3	1010	SINGLE FAM MDL01	LCD	1	2016	$92,300	$88,300	$180,600	09:43:40	33
178	27 HIGH ST	201/  128/  1000/  / 	$302,300	$302,300	2.17	1010	SINGLE FAM MDL01	LCD	1	2016	$205,300	$97,000	$302,300	09:43:41	34
