PID	Street Address	MBLU	Book&Page	Assessment	Appraisal	Lot Size (acres)	Land Use Code	Description	Zoning District	# Buildings	Appr. Year	Improvements	Land	Total	Recent Sale Price	Recent Sale Date	Prev Sale Price	Prev Sale Date	Prev. Ass. Imp	Prev. Ass. Land	Prev. Ass. Tot	Prev. App. Imp	Prev. App. Land	Prev. App. Tot	
123	30 PLEASANT ST	201/  86/  /  / 	  4371/0348	$284,100	$284,100	0.69	1010	SINGLE FAM MDL01	LCD	1	2021	$151,900	$132,200	$284,100	$295,000	06/29/2018	$185,000	03/24/2006	$120,600	$105,500	$226,100	$120,600	$105,500	$226,100	20:05:40	1
125	24 PLEASANT ST	201/  88/  /  / 	  4071/0118	$427,700	$427,700	2.3	1010	SINGLE FAM MDL01	LCD	1	2021	$272,000	$155,700	$427,700	$365,000	07/21/2014			$227,400	$119,300	$346,700	$227,400	$119,300	$346,700	20:05:41	2
127	16 PLEASANT ST	201/  90/  /  / 	  4644/ 627	$393,500	$393,500	0.9	1010	SINGLE FAM MDL01	LCD	1	2021	$240,200	$153,300	$393,500	$525,000	06/17/2021	$405,000	05/01/2019	$263,100	$114,100	$377,200	$263,100	$114,100	$377,200	20:05:42	3
128	12+14 PLEASANT ST	201/  91/  /  / 	  3779/0878	$583,500	$583,500	0.8	1090	MULTI HSES	LCD	2	2021	$395,000	$188,500	$583,500	$200,000	03/15/2011	$125,000	09/09/1997	$416,100	$111,500	$527,600	$416,100	$111,500	$527,600	20:05:43	4
129	10 PLEASANT ST	201/  92/  /  / 	  4152/0371	$339,800	$339,800	1.3	1010	SINGLE FAM MDL01	LCD	1	2021	$182,300	$157,500	$339,800	$286,000	08/24/2015	$225,000	03/07/2006	$170,700	$124,600	$295,300	$170,700	$124,600	$295,300	20:05:44	5
132	6 JOHN THOMSON WY (L/O)	201/  93/  100/  / 	 	$40,300	$40,300	0.16	9030	MUNICPAL  MDL-00	LDC	1	2021	$0	$40,300	$40,300	$0				$0	$33,700	$33,700	$0	$33,700	$33,700	20:05:45	6
133	6 JOHN THOMSON WY(HORSESHD)	201/  93/  200/  / 	  1005/0574	$42,000	$42,000	0	9060	CHURCH ETC  MDL-00		1	2021	$42,000	$0	$42,000	$0				$38,500	$0	$38,500	$38,500	$0	$38,500	20:05:45	7
136	2 PLEASANT ST (JAILHOUSE)	201/  94/  100/  / 	 	$27,400	$27,400	0.07	903I	MUNICPAL  MDL-96	LCD	1	2021	$15,200	$12,200	$27,400	$0				$13,400	$9,700	$23,100	$13,400	$9,700	$23,100	20:05:46	8
137	4 JOHN THOMSON WY	201/  94/  200/  / 	 	$236,300	$236,300	1.85	920C	NON PROFIT  MDL-94	LCD	1	2021	$46,900	$189,400	$236,300	$0				$42,400	$154,600	$197,000	$42,400	$154,600	$197,000	20:05:47	9
139	5 DORCHESTER RD	201/  96/  /  / 	 	$247,800	$247,800	0.09	906C	CHURCH ETC  MDL-94	LCD	1	2021	$81,400	$166,400	$247,800	$0				$73,400	$132,400	$205,800	$73,400	$132,400	$205,800	20:05:48	10
140	7 DORCHESTER RD	201/  97/  /  / 	  3890/0633	$726,800	$726,800	0.31	1010	SINGLE FAM MDL01	LCD	1	2021	$575,300	$151,500	$726,800	$733,000	06/13/2012	$257,000	09/19/1996	$531,800	$156,000	$687,800	$531,800	$156,000	$687,800	20:05:49	11
143	19 DORCHESTER RD	201/  100/  /  / 	  4223/0595	$541,000	$541,000	1.5	1010	SINGLE FAM MDL01	LCD	1	2021	$334,100	$206,900	$541,000	$465,000	07/29/2016	$222,000	09/02/1993	$289,400	$181,800	$471,200	$289,400	$181,800	$471,200	20:05:50	12
144	21 DORCHESTER RD	201/  101/  /  / 	  4154/0182	$277,800	$277,800	0.43	1010	SINGLE FAM MDL01	LCD	1	2021	$144,800	$133,000	$277,800	$266,700	08/31/2015	$92,571	07/15/1992	$138,000	$111,800	$249,800	$138,000	$111,800	$249,800	20:05:50	13
148	50 HIGH ST	201/  102/  1000/  / 	  4403/0829	$306,500	$306,500	1.37	1010	SINGLE FAM MDL01	LCD	1	2021	$163,800	$142,700	$306,500	$0	11/29/2018	$122,000	08/24/1994	$138,200	$108,700	$246,900	$138,200	$108,700	$246,900	20:05:51	14
149	48 HIGH ST	201/  102/  2000/  / 	  4403/0829	$556,800	$556,800	1.51	3050	HOSP PVT	LCD	1	2021	$385,600	$171,200	$556,800	$0	11/29/2018	$20,000	08/01/1995	$290,200	$130,100	$420,300	$290,200	$130,100	$420,300	20:05:52	15
