# PID,Map,Block
995,409,48
996,409,49
997,409,50
998,409,51
1002,409,53
1003,409,53
1004,409,54
1005,409,55
1006,409,56
1009,409,57
1015,409,60
1016,409,61
1018,409,63
1019,409,64
1020,409,65
1022,409,67
1023,409,68
1024,409,69
1025,409,70
1026,409,71
1027,409,72
1028,409,73
1030,409,75
1031,409,76
1033,409,78
1034,409,79
1035,409,80
1037,409,82
1038,409,83
1039,409,84
1040,409,85
1041,409,86
1042,409,87
1043,409,88
1045,409,90
1046,409,91
1048,409,93
1049,409,94
1051,409,95
1052,409,96
1053,409,98
1054,409,99
1055,409,100
1057,410,2
1058,410,3
1060,410,5
1061,410,6
1064,410,9
1068,410,10
1069,410,10
1070,410,11
1071,410,12
1076,410,13
1077,410,33
1078,410,15
1079,410,16
1081,410,18
1082,410,19
1083,410,20
1084,410,21
1085,410,22
1087,410,24
1091,410,28
1092,410,29
1093,410,30
1094,410,31
1096,410,33
1097,410,34
1098,410,35
1099,410,36
1100,410,37
1101,410,38
1102,410,39
1103,410,40
1104,410,41
1105,410,42
1109,410,46
1111,410,48
1112,410,49
1113,410,50
1118,410,55
1119,410,56
1120,410,57
1121,410,58
1122,410,59
1123,410,60
1124,410,61
1125,410,62
1126,410,63
1127,410,64
1129,410,66
1131,410,68
1132,410,69
1133,410,70
1136,410,73
1137,410,74
1138,410,75
1140,410,77
1141,410,78
1142,410,79
1144,410,80
1149,411,4
1150,411,5
1151,411,6
1152,411,7
1154,411,9
1155,411,10
1156,411,11
1157,411,12
1158,411,13
1163,412,2
1164,412,3
1165,413,1
1166,413,2
1167,413,3
1169,413,5
1170,413,6
1171,413,7
1173,413,9
1177,413,10
1186,413,11
1187,413,13
1188,413,14
1189,413,15
1190,413,16
1191,413,17
1192,413,19
1193,413,20
1195,413,22
1196,413,23
1197,413,24
1198,413,25
1199,413,26
1200,413,27
1201,413,28
1202,413,29
1203,413,30
1204,413,31
1206,413,33
1207,414,1
1208,414,2
1209,414,3
1211,414,5
1212,414,6
1213,414,7
1214,414,8
1215,414,9
1222,414,11
1223,414,11
1225,414,12
1226,414,13
1227,414,14
1228,415,30
1229,414,16
1230,414,17
1232,414,19
1233,414,20
1234,414,21
1235,414,22
1236,414,23
1243,414,25
1247,414,26
1248,414,26
1249,414,27
1250,414,28
1251,414,29
1255,414,30
1256,414,30
1257,414,31
1263,414,32
1265,414,34
1266,414,35
1267,414,36
1268,414,37
1269,414,38
1270,414,39
1271,414,40
1272,414,41
1274,414,43
1277,414,44
1282,414,45
1289,414,49
1291,414,50
1292,414,51
1298,414,53
1299,414,54
1302,414,57
1304,414,58
1305,414,58
1309,414,61
1311,414,61
1312,414,66
1313,414,62
1319,414,63
1323,414,64
1325,415,1
1326,415,2
1327,415,3
1332,415,8
1333,415,9
1335,415,11
1336,415,12
1337,415,13
1338,415,14
1340,415,15
1341,415,16
1342,415,17
1343,415,18
1344,415,19
1352,415,20
1353,415,20
1354,415,20
1355,415,21
1356,415,22
1358,415,24
1360,415,26
1361,415,27
1362,415,28
1363,415,29
1364,416,1
1365,416,2
1366,416,3
1367,416,4
1373,416,10
1374,416,11
1375,416,12
1379,416,14
1382,416,16
1384,416,18
1385,416,19
1386,416,20
1387,416,21
1388,416,22
1389,416,23
1394,416,24
1399,416,25
1400,416,26
1401,416,27
1402,417,1
1403,417,2
1406,417,5
1410,417,6
1412,417,7
1413,418,1
1417,418,3
1423,419,1
1435,419,7
1436,419,8
1437,419,9
1438,420,1
1439,420,2
1440,420,3
1441,420,4
1442,420,5
1443,420,6
1446,420,7
1447,420,7
1448,420,8
1449,420,9
1450,420,10
1451,420,11
1455,420,15
1456,420,16
1457,420,17
1462,420,22
1464,420,24
1466,420,26
1468,420,28
1469,421,1
1471,421,3
1472,421,4
1473,421,5
1475,421,7
1477,421,9
1484,421,16
1485,421,17
1486,421,18
1488,421,20
1489,421,21
100000,402,18
100021,406,22
100041,410,9
100103,410,72
100122,414,55
100142,401,55
100162,401,55
100163,401,55
100164,401,55
100182,401,55
100184,401,55
100202,422,1
100222,407,56
100243,407,53
100262,407,53
100263,404,50
100264,404,51
100265,407,53
100282,407,53
100302,409,81
100322,405,7
100361,406,26
100401,402,15
100422,401,55
100442,401,55
100462,401,55
100463,401,55
100482,401,55
100502,401,55
100503,401,55
100522,401,55
100523,401,55
100542,401,55
100543,401,55
100562,401,55
100563,401,55
100582,401,55
100583,401,55
100602,405,48
100622,405,3
100642,405,49
100662,417,6
100722,401,58
100742,402,44
100822,405,26
100863,401,23
101082,407,86
101143,414,15
101162,201,77
101182,402,1
101183,407,86
101202,407,86
101203,407,86
101204,407,86
101205,407,86
101224,411,1
101242,409,23
101243,409,23
101262,414,65
101282,409,77
101325,403,1
101342,405,38
