# Source: David Robbins, Lyme Planning and Zoning - 6Apr2021,,
# Mapping between Vision ID and the tax map/lot number,,
# VisionID,TaxMap,Lot
# Updated 21 Nov 2021 with results from the Old vs. New PDF from town website
123,201,86
125,201,88
127,201,90
128,201,91
129,201,92
132,201,93.0
133,201,93.2
136,201,94.1
137,201,94.2
139,201,96
140,201,97
143,201,100
144,201,101
148,201,102.1
149,201,102.2
150,201,103
151,201,104
153,201,106
154,201,107
159,201,109.1
161,201,110.1
162,201,111
163,201,112
164,201,113
167,201,117
168,201,118
170,201,120
172,201,123
173,201,124
174,201,125
176,201,126
100021,406,22.2
177,201,127
178,201,128.1
179,201,129
181,201,131
182,201,132
183,201,133
249,401,46
189,401,4
190,401,5
191,401,6
192,401,7
195,401,10
197,401,12
203,401,14
204,401,15
206,401,17
207,401,18
209,401,20
210,401,21
100361,406,26
217,401,23.11
219,401,23.3
220,401,24
221,401,25
223,401,27
225,401,29
229,401,30.1
230,401,30.2
232,401,32
233,401,33
235,401,35
236,401,36
100041,410,9.2
237,401,37
241,401,39
244,401,41
245,401,42
246,401,43
247,401,44
248,401,45
1,100,1
2,100,2
3,100,3
4,100,4
5,201,1
7,201,4
8,201,5
9,201,6
10,201,7
12,201,9
13,201,10
16,201,11
18,201,12.1
19,201,12.2
20,201,13
21,201,14
22,201,15
23,201,16
26,201,19
25,201,18
28,201,21
101602,201,80.2
101622,402,37.1
101642,401,1.1
32,201,25
570,405,30.2
571,405,31
572,405,32
883,408,45
884,408,46
100401,402,15.2
887,408,47.1
578,405,38.1
579,405,39
580,405,40
581,405,42.1
582,405,42.2
584,405,44
591,405,45.1
592,405,45.2
593,405,46
34,201,27
35,201,28
37,201,30
103137,201,30T
39,201,31.1
40,201,31.2
41,201,32
42,201,33
43,201,34
50,201,35.1
54,201,35.5
1136,410,73
1126,410,63
56,201,36
1165,413,1
58,201,38
575,405,35
576,405,36
250,401,47
251,401,48
252,401,49
253,401,50
254,401,51
255,401,52
256,401,53.1
257,401,54
258,401,55.301
259,401,56
260,401,57
102876,410,46.2
267,401,59
270,401,60
271,401,61
273,401,63
275,401,65
102896,408,19
102770,402,85
102771,406,5
102772,413,4
276,401,66
278,401,68
102897,408,20
59,201,39
60,201,40
# 859,408,22 was subdivided -reb
859,408,22.1000
102976,408,22.2000
63,201,43
64,201,44
66,201,46
68,201,48
69,201,49
# 71,201,50 201/50 no longer exists -reb
76,201,51.1
78,201,52
79,201,53
80,201,54
81,201,55
82,201,56
84,201,58
85,201,59
86,201,60
87,201,61
91,201,65
92,201,66
93,201,67
94,201,68
99,201,70.1
101,201,70.2
103,201,72
104,201,73
105,201,74
106,201,75
107,201,76
111,201,78
102937,100,5
120,201,83
121,201,84
689,407,29
690,407,30
102737,201,134
691,407,31
696,407,36
697,407,37
698,407,38
700,407,40
701,407,41
702,407,42
703,407,43
